# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.4708E+00   1.4376E+00
   2.4708E+00   1.4375E+00
   2.4709E+00   1.4373E+00
   2.4709E+00   1.4372E+00
   2.4709E+00   1.4372E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4371E+00
   2.4709E+00   1.4370E+00
   2.4710E+00   1.4370E+00
   2.4710E+00   1.4369E+00
   2.4710E+00   1.4368E+00
   2.4711E+00   1.4367E+00
   2.4711E+00   1.4365E+00
   2.4712E+00   1.4363E+00
   2.4713E+00   1.4361E+00
   2.4713E+00   1.4360E+00
   2.4713E+00   1.4359E+00
   2.4714E+00   1.4358E+00
   2.4714E+00   1.4357E+00
   2.4715E+00   1.4355E+00
   2.4716E+00   1.4354E+00
   2.4717E+00   1.4351E+00
   2.4720E+00   1.4348E+00
   2.4724E+00   1.4347E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4732E+00   1.4348E+00
   2.4733E+00   1.4347E+00
   2.4734E+00   1.4347E+00
   2.4735E+00   1.4346E+00
   2.4737E+00   1.4346E+00
   2.4741E+00   1.4347E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4748E+00   1.4351E+00
   2.4749E+00   1.4350E+00
   2.4750E+00   1.4350E+00
   2.4752E+00   1.4349E+00
   2.4756E+00   1.4347E+00
   2.4759E+00   1.4346E+00
   2.4763E+00   1.4345E+00
